id,empty_cells,recursive_calls,backtracks,candidate_checks,successful_assignments,failed_assignments,maximum_depth,execution_time_ms,solved
850,58,48085,48026,432527,48084,48026,59,29.000,1
851,57,161784,161726,1455822,161783,161726,58,85.000,1
852,56,71473,71416,643021,71472,71416,57,57.000,1
853,57,215746,215688,1941478,215745,215688,58,85.000,1
854,58,60225,60166,541790,60224,60166,59,33.000,1
855,54,1390,1335,12289,1389,1335,55,1.000,1
856,54,129711,129656,1167162,129710,129656,55,68.000,1
857,56,12328,12271,110717,12327,12271,57,4.000,1
858,58,38072,38013,342422,38071,38013,59,15.000,1
859,57,86737,86679,780408,86736,86679,58,41.000,1
860,56,139560,139503,1255789,139559,139503,57,49.000,1
861,56,3311,3254,29576,3310,3254,57,2.000,1
862,57,27357,27299,245973,27356,27299,58,11.000,1
863,57,49646,49588,446561,49645,49588,58,24.000,1
864,57,102353,102295,920934,102352,102295,58,39.000,1
865,56,75649,75592,680618,75648,75592,57,34.000,1
866,57,554898,554840,4993852,554897,554840,58,204.000,1
867,58,15511,15452,139365,15510,15452,59,5.000,1
868,58,10978,10919,98570,10977,10919,59,4.000,1
869,55,18727,18671,168309,18726,18671,56,7.000,1
870,55,6243,6187,55955,6242,6187,56,3.000,1
871,56,15327,15270,137707,15326,15270,57,6.000,1
872,56,23683,23626,212921,23682,23626,57,10.000,1
873,58,78780,78721,708787,78779,78721,59,26.000,1
874,56,1199,1142,10566,1198,1142,57,0.000,1
875,55,6050,5994,54218,6049,5994,56,2.000,1
876,56,10387,10330,93236,10386,10330,57,4.000,1
877,54,26287,26232,236361,26286,26232,55,10.000,1
878,54,12860,12805,115515,12859,12805,55,4.000,1
879,57,1066786,1066728,9600850,1066785,1066728,58,489.000,1
880,58,1067,1008,9367,1066,1008,59,0.000,1
881,55,183026,182970,1647010,183025,182970,56,110.000,1
882,55,2550,2494,22731,2549,2494,56,5.000,1
883,56,115358,115301,1037987,115357,115301,57,70.000,1
884,56,80087,80030,720559,80086,80030,57,49.000,1
885,54,96454,96399,867853,96453,96399,55,71.000,1
886,54,10024,9969,89980,10023,9969,55,11.000,1
887,54,37085,37030,333532,37084,37030,55,22.000,1
888,53,491,437,4206,490,437,54,0.000,1
889,56,11520,11463,103443,11519,11463,57,10.000,1
890,55,3721,3665,33255,3720,3665,56,2.000,1
891,55,117412,117356,1056482,117411,117356,56,99.000,1
892,54,6011,5956,53871,6010,5956,55,4.000,1
893,57,20370,20312,183091,20369,20312,58,16.000,1
894,57,42285,42227,380336,42284,42227,58,29.000,1
895,56,17336,17279,155788,17335,17279,57,11.000,1
896,55,31662,31606,284724,31661,31606,56,23.000,1
897,55,4759,4703,42590,4758,4703,56,2.000,1
898,56,13138,13081,118015,13137,13081,57,8.000,1
899,55,620149,620093,5581106,620148,620093,56,280.000,1
900,56,8856,8799,79478,8855,8799,57,3.000,1
901,58,26184,26125,235417,26183,26125,59,11.000,1
902,56,6945,6888,62269,6944,6888,57,3.000,1
903,56,4293,4236,38401,4292,4236,57,2.000,1
904,58,231349,231290,2081894,231348,231290,59,118.000,1
905,57,548719,548661,4938234,548718,548661,58,264.000,1
906,54,42090,42035,378605,42089,42035,55,20.000,1
907,56,82,25,506,81,25,57,0.000,1
908,56,10576,10519,94953,10575,10519,57,6.000,1
909,55,15726,15670,141303,15725,15670,56,9.000,1
910,55,5173,5117,46322,5172,5117,56,4.000,1
911,56,18278,18221,164259,18277,18221,57,13.000,1
912,56,27873,27816,250630,27872,27816,57,14.000,1
913,56,295087,295030,2655554,295086,295030,57,132.000,1
914,54,9448,9393,84799,9447,9393,55,4.000,1
915,56,75439,75382,678718,75438,75382,57,43.000,1
916,55,17650,17594,158614,17649,17594,56,13.000,1
917,57,47457,47399,426882,47456,47399,58,39.000,1
918,53,7189,7135,64486,7188,7135,54,5.000,1
919,58,80578,80519,724959,80577,80519,59,42.000,1
920,56,4256,4199,38057,4255,4199,57,2.000,1
921,56,12497,12440,112238,12496,12440,57,5.000,1
922,57,90703,90645,816095,90702,90645,58,41.000,1
923,56,2321,2264,20657,2320,2264,57,1.000,1
924,55,12587,12531,113066,12586,12531,56,5.000,1
925,56,15025,14968,134995,15024,14968,57,9.000,1
926,56,92138,92081,829014,92137,92081,57,58.000,1
927,56,1747,1690,15489,1746,1690,57,1.000,1
928,56,8167,8110,73265,8166,8110,57,3.000,1
929,59,58714,58654,528182,58713,58654,60,33.000,1
930,55,30732,30676,276354,30731,30676,56,21.000,1
931,55,943,887,8267,942,887,56,1.000,1
932,53,39629,39575,356436,39628,39575,54,32.000,1
933,55,266,210,2155,265,210,56,1.000,1
934,56,7844,7787,70357,7843,7787,57,7.000,1
935,56,10435,10378,93681,10434,10378,57,7.000,1
936,57,14291,14233,128378,14290,14233,58,12.000,1
937,54,64287,64232,578350,64286,64232,55,55.000,1
938,57,84691,84633,761991,84690,84633,58,50.000,1
939,55,2502,2446,22295,2501,2446,56,2.000,1
940,56,70258,70201,632101,70257,70201,57,46.000,1
941,58,316104,316045,2844698,316103,316045,59,154.000,1
942,55,150360,150304,1353018,150359,150304,56,58.000,1
943,54,12012,11957,107881,12011,11957,55,5.000,1
944,57,5456,5398,48869,5455,5398,58,3.000,1
945,56,6285,6228,56321,6284,6228,57,3.000,1
946,54,19435,19380,174688,19434,19380,55,9.000,1
947,57,41172,41114,370324,41171,41114,58,17.000,1
948,56,126,69,888,125,69,57,0.000,1
949,55,44534,44478,400590,44533,44478,56,19.000,1
950,55,1490,1434,13181,1489,1434,56,0.000,1
951,56,2012,1955,17863,2011,1955,57,0.000,1
952,58,667905,667846,6010909,667904,667846,59,335.000,1
953,57,102557,102499,922767,102556,102499,58,42.000,1
954,56,138452,138395,1245850,138451,138395,57,49.000,1
955,56,8546,8489,76690,8545,8489,57,3.000,1
956,55,4726,4670,42313,4725,4670,56,2.000,1
957,57,1965,1907,17447,1964,1907,58,2.000,1
958,55,141,85,1024,140,85,56,0.000,1
959,56,24562,24505,220815,24561,24505,57,13.000,1
960,57,228204,228146,2053609,228203,228146,58,105.000,1
961,56,5810,5753,52056,5809,5753,57,1.000,1
962,57,11395,11337,102309,11394,11337,58,4.000,1
963,56,2019,1962,17942,2018,1962,57,1.000,1
964,54,786,731,6849,785,731,55,1.000,1
965,57,67841,67783,610334,67840,67783,58,26.000,1
966,57,171,113,1297,170,113,58,0.000,1
967,56,75185,75128,676423,75184,75128,57,29.000,1
968,57,94189,94131,847470,94188,94131,58,35.000,1
969,53,34289,34235,308391,34288,34235,54,11.000,1
970,58,89397,89338,804323,89396,89338,59,42.000,1
971,56,1499,1442,13257,1498,1442,57,1.000,1
972,58,48238,48179,433906,48237,48179,59,16.000,1
973,56,222453,222396,2001853,222452,222396,57,80.000,1
974,56,148099,148042,1332663,148098,148042,57,48.000,1
975,56,32591,32534,293094,32590,32534,57,12.000,1
976,56,8814,8757,79081,8813,8757,57,4.000,1
977,54,2177,2122,19360,2176,2122,55,1.000,1
978,56,79764,79707,717647,79763,79707,57,34.000,1
979,57,5640,5582,50528,5639,5582,58,3.000,1
980,57,2585,2527,23015,2584,2527,58,1.000,1
981,55,12433,12377,111655,12432,12377,56,6.000,1
982,56,149618,149561,1346335,149617,149561,57,70.000,1
983,55,340322,340266,3062664,340321,340266,56,122.000,1
984,58,301471,301412,2713006,301470,301412,59,124.000,1
985,55,2084,2028,18528,2083,2028,56,1.000,1
986,57,19502,19444,175269,19501,19444,58,9.000,1
987,56,146,89,1072,145,89,57,0.000,1
988,56,21896,21839,196832,21895,21839,57,10.000,1
989,54,8051,7996,72235,8050,7996,55,4.000,1
990,54,8954,8899,80370,8953,8899,55,4.000,1
991,56,1253,1196,11044,1252,1196,57,1.000,1
992,56,21064,21007,189328,21063,21007,57,9.000,1
993,57,8252,8194,74022,8251,8194,58,3.000,1
994,54,1567,1512,13876,1566,1512,55,0.000,1
995,55,35744,35688,321463,35743,35688,56,15.000,1
996,56,22062,22005,198330,22061,22005,57,10.000,1
997,55,17569,17513,157896,17568,17513,56,6.000,1
998,55,5912,5856,52985,5911,5856,56,2.000,1
999,56,77123,77066,693871,77122,77066,57,28.000,1
1000,56,10942,10885,98241,10941,10885,57,4.000,1
